Player,Faction,Faction Detachment,Primary,Secondary,Unique Faction List,Chapter,ChapterDetachment,Unique Chapter List,Mono-Faction?,Custom Trait1,Custom Trait2,Wins,Losses,Draws,Games,Avg VP,Avg Oppon VP,Win Percentage,Pure Win Percentage,Games by Primary,Games by Secondary,Games Mono,Primary Wins,Primary Loss,Primary Draw,Win % By Faction,VP by Faction,Opp VP by Faction,Win % By Primary,Win % by Chapter,VP by Primary,Top List,ITC 100,Tournament,Missions,Ruleset,Date
Jason Merten,Adepta Sororitas,1,,1,,Adeptus Ministorum,1,1,,,,4,2,0,6,72.00,55.83,66.67%,,,6,,,,,,,,,66.67%,,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Bernt Tromsdal,Chaos Space Marines,1,,1,,Alpha Legion,1,1,,,,2,3,0,5,62.20,57.40,40.00%,,,5,,,,,,,,,40.00%,,No,,Invasion GT,GT Pack,9th Open,12-Sep
Stian Bruras-Leine,Chaos Space Marines,1,,1,1,Alpha Legion,1,1,,,,1,4,0,5,57.20,82.00,20.00%,,,5,,,,,0.20,57.20,82.00,,20.00%,,No,,Invasion GT,GT Pack,9th Open,12-Sep
Tomas Christensson,Chaos Space Marines,1,,1,,Alpha Legion,1,1,,,,2,3,0,5,76.80,74.80,40.00%,,,5,,,,,,,,,40.00%,,No,,WCT GT 2,GT Pack,9th Open,26-Sep
James Castles,Chaos Space Marines,1,1,,1,Alpha Legion,1,1,Mono,,,1,4,0,5,51.20,70.40,20.00%,20.00%,5,,5,1,4,0,0.20,51.20,70.40,20.00%,20.00%,51.20,No,,NSW Iron Man,GT Pack,9th Open,26-Sep
Joseph Hancock,Chaos Space Marines,1,1,,1,Alpha Legion,1,1,,,,1,4,0,5,38.60,59.80,20.00%,,5,,,1,4,0,0.20,38.60,59.80,20.00%,20.00%,38.60,No,,NSW Iron Man,GT Pack,9th Open,26-Sep
Nick Moran,Chaos Space Marines,1,1,,1,Alpha Legion,1,1,,,,2,3,0,5,73.20,67.40,40.00%,,5,,,2,3,0,0.40,73.20,67.40,40.00%,40.00%,73.20,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
Jimmy Pettersson,Chaos Space Marines,1,,1,1,Alpha Legion,1,1,,,,5,0,0,5,15.60,4.40,100.00%,,,5,,,,,1.00,15.60,4.40,,100.00%,,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Damian Legan,Chaos Space Marines,1,,1,1,Alpha Legion,1,1,,,,2,3,0,5,44.00,65.60,40.00%,,,5,,,,,0.40,44.00,65.60,,40.00%,,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Jamil Seif,Chaos Space Marines,1,1,,1,Alpha Legion,1,1,mono,,,3,2,0,5,63.40,55.40,60.00%,60.00%,5,,5,3,2,0,0.60,63.40,55.40,60.00%,60.00%,63.40,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Robert Linkert,Chaos Space Marines,1,1,,1,Alpha Legion,1,1,Mono,,,2,3,0,5,51.60,56.40,40.00%,40.00%,5,,5,2,3,0,0.40,51.60,56.40,40.00%,40.00%,51.60,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Robert Linkert,Chaos Space Marines,1,,1,,Alpha Legion,1,,,,,2,3,0,5,51.60,56.40,40.00%,,,5,,,,,,,,,,,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
James Miller,Astra Militarum,1,1,,1,Armageddon,1,1,Mono,,,3,3,0,6,69.83,86.67,50.00%,50.00%,6,,6,3,3,0,0.50,69.83,86.67,50.00%,50.00%,69.83,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Aaron Scherer,Ynnari,1,,1,1,Asuryani Reborn,1,1,,,,3,3,0,6,58.83,77.17,50.00%,,,6,,,,,0.50,58.83,77.17,,50.00%,,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
James Kelling,Ynnari,1,,1,1,Asuryani Reborn,1,1,,,,3,3,0,6,80.67,62.17,50.00%,,,6,,,,,0.50,80.67,62.17,,50.00%,,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Matt Evans,Tyranids,1,,1,,Behemoth,1,1,,,,4,2,0,6,66.00,76.67,66.67%,,,6,,,,,,,,,66.67%,,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Björn Sjöström,Tyranids,1,1,,1,behemoth,1,1,Mono,,,2,3,0,5,8.00,12.00,40.00%,40.00%,5,,5,2,3,0,0.40,8.00,12.00,40.00%,40.00%,8.00,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Björn Sjöström,Tyranids,1,,1,,behemoth,1,,,,,2,3,0,5,8.00,12.00,40.00%,,,5,,,,,,,,,,,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Sebastian Kruuse Ar Verchou,Chaos Space Marines,1,1,,1,Black Legion,1,1,Mono,,,2,3,0,5,72.20,69.20,40.00%,40.00%,5,,5,2,3,0,0.40,72.20,69.20,40.00%,40.00%,72.20,No,,Varberg GT,GT Pack,9th Open,28-Aug
Austin Wingfield,Chaos Space Marines,1,1,,1,Black Legion,1,1,Mono,,,4,1,0,5,71.20,58.00,80.00%,80.00%,5,,5,4,1,0,0.80,71.20,58.00,80.00%,80.00%,71.20,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Sondre Skar,Chaos Space Marines,1,1,,1,Black Legion,1,1,Mono,,,3,2,0,5,62.20,76.20,60.00%,60.00%,5,,5,3,2,0,0.60,62.20,76.20,60.00%,60.00%,62.20,No,,Invasion GT,GT Pack,9th Open,12-Sep
Jonathan Webb,Chaos Space Marines,1,1,,1,Black Legion,1,1,,,,1,4,0,5,51.80,74.20,20.00%,,5,,,1,4,0,0.20,51.80,74.20,20.00%,20.00%,51.80,No,,Brisbane GT,GT Pack,9th Open,19-Sep
craig johnston,Chaos Space Marines,1,,1,1,Black Legion,1,1,,,,3,3,0,6,67.17,68.50,50.00%,,,6,,,,,0.50,67.17,68.50,,50.00%,,No,,Iron Halo,GT Pack,9th Open,26-Sep
Russell Tassin,Chaos Space Marines,1,1,,1,Black Legion,1,1,,,,1,3,1,5,70.00,78.20,30.00%,,5,,,1,3,1,0.30,70.00,78.20,30.00%,30.00%,70.00,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
Kirk MacDonald,Chaos Space Marines,1,,1,1,Black Legion,1,1,,,,2,3,0,5,45.60,61.00,40.00%,,,5,,,,,0.40,45.60,61.00,,40.00%,,No,,NSW Iron Man,GT Pack,9th Open,26-Sep
Morgan Norman,Chaos Space Marines,1,1,,1,Black Legion,1,1,,,,1,3,1,5,4.60,11.40,30.00%,,5,,,1,3,1,0.30,4.60,11.40,30.00%,30.00%,4.60,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Olof Wallmark,Chaos Space Marines,1,1,,1,Black Legion,1,1,Mono,,,1,2,2,5,7.80,12.20,40.00%,40.00%,5,,5,1,2,2,0.40,7.80,12.20,40.00%,40.00%,7.80,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
James Marsden,Black Templars,1,1,,1,Black Templars,1,1,Mono,,,3,1,2,6,75.33,61.17,66.67%,66.67%,6,,6,3,1,2,0.67,75.33,61.17,66.67%,66.67%,75.33,No,,Vanguard Tactics GS,GT Pack,9th Open,1-Aug
Ben Cherwien,Black Templars,1,1,,1,Black Templars,1,1,Mono,,,5,1,0,6,88.33,44.33,83.33%,83.33%,6,,6,5,1,0,0.83,88.33,44.33,83.33%,83.33%,88.33,Yes,,Iron Halo,GT Pack,9th Open,26-Sep
John Teets,Black Templars,1,1,,1,Black Templars,1,1,mono,,,2,4,0,6,57.00,75.67,33.33%,33.33%,6,,6,2,4,0,0.33,57.00,75.67,33.33%,33.33%,57.00,No,,Iron Halo,GT Pack,9th Open,26-Sep
Truls Oskar Pedersen,Genestealer Cults,1,1,,1,Bladed Cog,1,1,Mono,,,3,2,0,5,66.80,72.20,60.00%,60.00%,5,,5,3,2,0,0.60,66.80,72.20,60.00%,60.00%,66.80,No,,Invasion GT,GT Pack,9th Open,12-Sep
Christopher Talley,Genestealer Cults,1,1,,1,Bladed Cog,1,1,Mono,,,3,2,0,5,75.80,65.60,60.00%,60.00%,5,,5,3,2,0,0.60,75.80,65.60,60.00%,60.00%,75.80,No,,Red Rock Exterminatus,GT Pack,9th Open,26-Sep
Matthew Guenzel,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,2,4,0,6,73.33,65.50,33.33%,33.33%,6,,6,2,4,0,0.33,73.33,65.50,33.33%,33.33%,73.33,No,,Vanguard Tactics GS,GT Pack,9th Open,1-Aug
Troy Williams,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,1,4,0,5,18.80,65.60,20.00%,20.00%,5,,5,1,4,0,0.20,18.80,65.60,20.00%,20.00%,18.80,No,,Adelaide GT,GT Pack,9th Open,1-Aug
Axel Johnson,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,4,2,0,6,70.83,64.33,66.67%,66.67%,6,,6,4,2,0,0.67,70.83,64.33,66.67%,66.67%,70.83,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Jamie Bond,Blood Angels,1,1,,1,Blood Angels,1,1,,,,2,4,0,6,64.67,70.67,33.33%,,6,,,2,4,0,0.33,64.67,70.67,33.33%,33.33%,64.67,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Tyler Drew,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,2,4,0,6,47.33,51.83,33.33%,33.33%,6,,6,2,4,0,0.33,47.33,51.83,33.33%,33.33%,47.33,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Lee Hall,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,3,2,0,5,70.80,69.00,60.00%,60.00%,5,,5,3,2,0,0.60,70.80,69.00,60.00%,60.00%,70.80,No,,Battle for Survival,GT Pack,9th Open,14-Aug
Bjorn Hakansson,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,4,1,0,5,89.00,71.20,80.00%,80.00%,5,,5,4,1,0,0.80,89.00,71.20,80.00%,80.00%,89.00,No,,Varberg GT,GT Pack,9th Open,28-Aug
Jason Becker,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,1,4,0,5,50.00,73.60,20.00%,20.00%,5,,5,1,4,0,0.20,50.00,73.60,20.00%,20.00%,50.00,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Brian Delgado,Blood Angels,1,1,,1,Blood Angels,1,1,,,,3,2,0,5,77.40,61.60,60.00%,,5,,,3,2,0,0.60,77.40,61.60,60.00%,60.00%,77.40,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Erik Dahl,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,2,3,0,5,45.80,65.80,40.00%,40.00%,5,,5,2,3,0,0.40,45.80,65.80,40.00%,40.00%,45.80,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Tyler Wimer,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,1,4,0,5,59.80,86.00,20.00%,20.00%,5,,5,1,4,0,0.20,59.80,86.00,20.00%,20.00%,59.80,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Tyler Wimer,Blood Angels,1,,1,,Blood Angels,1,,,,,1,4,0,5,59.80,86.00,20.00%,,,5,,,,,,,,,,,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Jordan Bennett,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,3,2,0,5,79.20,67.60,60.00%,60.00%,5,,5,3,2,0,0.60,79.20,67.60,60.00%,60.00%,79.20,No,,Brisbane GT,GT Pack,9th Open,19-Sep
Alexander Kuehn,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,5,1,0,6,80.00,47.50,83.33%,83.33%,6,,6,5,1,0,0.83,80.00,47.50,83.33%,83.33%,80.00,Yes,,Iron Halo,GT Pack,9th Open,26-Sep
Duncan Ensminger,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,4,2,0,6,68.50,69.67,66.67%,66.67%,6,,6,4,2,0,0.67,68.50,69.67,66.67%,66.67%,68.50,No,,Iron Halo,GT Pack,9th Open,26-Sep
Jamie Bond,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,2,4,0,6,53.67,67.17,33.33%,33.33%,6,,6,2,4,0,0.33,53.67,67.17,33.33%,33.33%,53.67,No,,Iron Halo,GT Pack,9th Open,26-Sep
Jennie Merten,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,2,3,1,6,45.50,66.17,41.67%,41.67%,6,,6,2,3,1,0.42,45.50,66.17,41.67%,41.67%,45.50,No,,Iron Halo,GT Pack,9th Open,26-Sep
John Burgher,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,4,2,0,6,63.50,63.50,66.67%,66.67%,6,,6,4,2,0,0.67,63.50,63.50,66.67%,66.67%,63.50,No,,Iron Halo,GT Pack,9th Open,26-Sep
Quinton Alexander,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,3,3,0,6,59.67,66.17,50.00%,50.00%,6,,6,3,3,0,0.50,59.67,66.17,50.00%,50.00%,59.67,No,,Iron Halo,GT Pack,9th Open,26-Sep
Tyler Drew,Blood Angels,1,1,,1,Blood Angels,1,1,mono,,,1,4,1,6,39.83,74.67,25.00%,25.00%,6,,6,1,4,1,0.25,39.83,74.67,25.00%,25.00%,39.83,No,,Iron Halo,GT Pack,9th Open,26-Sep
Mario Capizzo,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,0,1,0,1,38.00,74.00,0.00%,0.00%,1,,1,0,1,0,0.00,38.00,74.00,0.00%,0.00%,38.00,No,,Red Rock Exterminatus,GT Pack,9th Open,26-Sep
Mario Capizzo,Blood Angels,1,,1,,Blood Angels,1,,,,,0,1,0,1,38.00,74.00,0.00%,,,1,,,,,,,,,,,No,,Red Rock Exterminatus,GT Pack,9th Open,26-Sep
Eric Smith,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,2,3,0,5,61.60,85.60,40.00%,40.00%,5,,5,2,3,0,0.40,61.60,85.60,40.00%,40.00%,61.60,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
Fred De La Cruz,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,1,4,0,5,42.40,78.40,20.00%,20.00%,5,,5,1,4,0,0.20,42.40,78.40,20.00%,20.00%,42.40,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
Fred De La Cruz,Blood Angels,1,,1,,Blood Angels,1,,,,,1,4,0,5,42.40,78.40,20.00%,,,5,,,,,,,,,,,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
Shawn Prosser,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,1,1,1,3,53.67,52.67,50.00%,50.00%,3,,3,1,1,1,0.50,53.67,52.67,50.00%,50.00%,53.67,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
Bjorn Hakansson,Blood Angels,1,1,,1,Blood Angels,1,1,,,,2,3,0,5,68.00,87.60,40.00%,,5,,,2,3,0,0.40,68.00,87.60,40.00%,40.00%,68.00,No,,WCT GT 2,GT Pack,9th Open,26-Sep
Daniel Hesselberg,Blood Angels,1,1,,1,Blood Angels,1,1,,,,3,2,0,5,71.40,68.80,60.00%,,5,,,3,2,0,0.60,71.40,68.80,60.00%,60.00%,71.40,No,,WCT GT 2,GT Pack,9th Open,26-Sep
Max Persson,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,0,3,0,3,65.00,89.00,0.00%,0.00%,3,,3,0,3,0,0.00,65.00,89.00,0.00%,0.00%,65.00,No,,WCT GT 2,GT Pack,9th Open,26-Sep
Viktor Engstrom,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,4,1,0,5,86.60,57.40,80.00%,80.00%,5,,5,4,1,0,0.80,86.60,57.40,80.00%,80.00%,86.60,No,,WCT GT 2,GT Pack,9th Open,26-Sep
Viktor Engstrom,Blood Angels,1,,1,,Blood Angels,1,,,,,4,1,0,5,86.60,57.40,80.00%,,,5,,,,,,,,,,,No,,WCT GT 2,GT Pack,9th Open,26-Sep
Damian Laing,Blood Angels,1,1,,1,Blood Angels,1,1,mono,,,1,4,0,5,38.60,54.20,20.00%,20.00%,5,,5,1,4,0,0.20,38.60,54.20,20.00%,20.00%,38.60,No,,NSW Iron Man,GT Pack,9th Open,26-Sep
Bradley Linder,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,1,3,1,5,56.60,70.60,30.00%,30.00%,5,,5,1,3,1,0.30,56.60,70.60,30.00%,30.00%,56.60,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
Cody Hostuttler,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,3,2,0,5,65.60,75.00,60.00%,60.00%,5,,5,3,2,0,0.60,65.60,75.00,60.00%,60.00%,65.60,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
daniel hesselberg,Blood Angels,1,1,,1,Blood Angels,1,1,,,,5,0,0,5,18.80,1.20,100.00%,,5,,,5,0,0,1.00,18.80,1.20,100.00%,100.00%,18.80,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Sami Sjolander,Blood Angels,1,1,,1,Blood Angels,1,1,Mono,,,3,2,0,5,11.20,8.80,60.00%,60.00%,5,,5,3,2,0,0.60,11.20,8.80,60.00%,60.00%,11.20,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Samuel Manuel,Astra Militarum,1,,1,1,Brood Brothers,1,1,,,,3,3,0,6,60.67,60.17,50.00%,,,6,,,,,0.50,60.67,60.17,,50.00%,,No,,Iron Halo,GT Pack,9th Open,26-Sep
Frank Dimaria,Astra Militarum,1,1,,1,Cadian,1,1,Mono,,,1,4,0,5,46.60,85.00,20.00%,20.00%,5,,5,1,4,0,0.20,46.60,85.00,20.00%,20.00%,46.60,No,,Adelaide GT,GT Pack,9th Open,1-Aug
Keiryn Lee Magazin,Astra Militarum,1,,1,,Cadian,1,1,,,,3,2,0,5,69.00,68.00,60.00%,,,5,,,,,,,,,60.00%,,No,,Adelaide GT,GT Pack,9th Open,1-Aug
Jamie Bond,Astra Militarum,1,,1,1,Cadian,1,1,,,,2,4,0,6,64.67,70.67,33.33%,,,6,,,,,0.33,64.67,70.67,,33.33%,,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Simon Ingvarsson,Astra Militarum,1,1,,1,Cadian,1,1,Mono,,,1,4,0,5,4.20,15.80,20.00%,20.00%,5,,5,1,4,0,0.20,4.20,15.80,20.00%,20.00%,4.20,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Philip Bendisch,Astra Militarum,1,1,,1,Cadian,1,1,Mono,,,2,3,0,5,44.20,50.80,40.00%,40.00%,5,,5,2,3,0,0.40,44.20,50.80,40.00%,40.00%,44.20,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Andreas Liene,Astra Militarum,1,,1,1,Catachan,1,1,,,,1,4,0,5,59.60,79.00,20.00%,,,5,,,,,0.20,59.60,79.00,,20.00%,,No,,Invasion GT,GT Pack,9th Open,12-Sep
Mani Cheema,Astra Militarum,1,1,,1,Catachan,1,1,,,,4,1,0,5,79.20,56.00,80.00%,,5,,,4,1,0,0.80,79.20,56.00,80.00%,80.00%,79.20,No,,Stay Safe and Play GT,GT Pack,9th Open,26-Sep
Brian Luffman,Astra Militarum,1,,1,1,Catachan,1,1,,,,2,1,1,4,45.75,57.75,62.50%,,,4,,,,,0.63,45.75,57.75,,62.50%,,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
Leif Savander,Astra Militarum,1,,1,1,Catachan,1,1,,,,2,3,0,5,5.40,14.60,40.00%,,,5,,,,,0.40,5.40,14.60,,40.00%,,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Nicholas Hiatt,Chaos Daemons,1,,1,1,Chaos Undivided,1,1,,,,3,3,0,6,73.50,66.67,50.00%,,,6,,,,,0.50,73.50,66.67,,50.00%,,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
David Horn,Chaos Daemons,1,1,,1,Chaos Undivided,1,1,,,,4,1,0,5,75.40,69.40,80.00%,,5,,,4,1,0,0.80,75.40,69.40,80.00%,80.00%,75.40,No,,Battle for Survival,GT Pack,9th Open,14-Aug
Thomas Whybrow,Chaos Daemons,1,1,,1,Chaos Undivided,1,1,,,,3,2,0,5,88.80,64.40,60.00%,,5,,,3,2,0,0.60,88.80,64.40,60.00%,60.00%,88.80,No,,Battle for Survival,GT Pack,9th Open,14-Aug
Max Persson,Chaos Daemons,1,,1,1,Chaos Undivided,1,1,,,,3,2,0,5,70.80,65.00,60.00%,,,5,,,,,0.60,70.80,65.00,,60.00%,,No,,Varberg GT,GT Pack,9th Open,28-Aug
Par Hylander,Chaos Daemons,1,1,,1,Chaos Undivided,1,1,Mono,,,4,1,0,5,90.20,74.00,80.00%,80.00%,5,,5,4,1,0,0.80,90.20,74.00,80.00%,80.00%,90.20,No,,Varberg GT,GT Pack,9th Open,28-Aug
Aidan Barkley,Chaos Daemons,1,,1,1,Chaos Undivided,1,1,,,,4,1,0,5,80.80,57.80,80.00%,,,5,,,,,0.80,80.80,57.80,,80.00%,,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Anthony Fitzgerald,Chaos Daemons,1,1,,1,Chaos Undivided,1,1,,,,2,3,0,5,72.20,60.60,40.00%,,5,,,2,3,0,0.40,72.20,60.60,40.00%,40.00%,72.20,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Josh Kinder,Chaos Daemons,1,1,,1,Chaos Undivided,1,1,,,,3,2,0,5,70.20,67.00,60.00%,,5,,,3,2,0,0.60,70.20,67.00,60.00%,60.00%,70.20,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Josh Kinder,Chaos Daemons,1,,1,,Chaos Undivided,1,,,,,3,2,0,5,70.20,67.00,60.00%,,,5,,,,,,,,,,,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Magnus Liene,Chaos Daemons,1,,1,1,Chaos Undivided,1,1,,,,4,1,0,5,82.00,62.60,80.00%,,,5,,,,,0.80,82.00,62.60,,80.00%,,No,,Invasion GT,GT Pack,9th Open,12-Sep
Dan Savage,Chaos Daemons,1,1,,1,Chaos Undivided,1,1,Mono,,,5,0,0,5,85.40,57.20,100.00%,100.00%,5,,5,5,0,0,1.00,85.40,57.20,100.00%,100.00%,85.40,No,,Brisbane GT,GT Pack,9th Open,19-Sep
Jay Hansen,Chaos Daemons,1,1,,1,Chaos Undivided,1,1,,,,2,3,0,5,77.40,72.60,40.00%,,5,,,2,3,0,0.40,77.40,72.60,40.00%,40.00%,77.40,No,,Brisbane GT,GT Pack,9th Open,19-Sep
Wayne Russell,Chaos Daemons,1,1,,1,Chaos Undivided,1,1,,,,3,2,0,5,67.20,63.00,60.00%,,5,,,3,2,0,0.60,67.20,63.00,60.00%,60.00%,67.20,No,,Brisbane GT,GT Pack,9th Open,19-Sep
Benjamin Cromer,Chaos Daemons,1,,1,1,Chaos Undivided,1,1,,,,2,4,0,6,68.00,78.33,33.33%,,,6,,,,,0.33,68.00,78.33,,33.33%,,No,,Iron Halo,GT Pack,9th Open,26-Sep
craig johnston,Chaos Daemons,1,1,,1,Chaos Undivided,1,1,,,,3,3,0,6,67.17,68.50,50.00%,,6,,,3,3,0,0.50,67.17,68.50,50.00%,50.00%,67.17,No,,Iron Halo,GT Pack,9th Open,26-Sep
Jesse Pinick,Chaos Daemons,1,1,,1,Chaos Undivided,1,1,Mono,,,2,4,0,6,73.50,76.67,33.33%,33.33%,6,,6,2,4,0,0.33,73.50,76.67,33.33%,33.33%,73.50,No,,Iron Halo,GT Pack,9th Open,26-Sep
Jesse Pinick,Chaos Daemons,1,,1,,Chaos Undivided,1,,,,,2,4,0,6,73.50,76.67,33.33%,,,6,,,,,,,,,,,No,,Iron Halo,GT Pack,9th Open,26-Sep
Mark Perry,Chaos Daemons,1,,1,1,Chaos Undivided,1,1,,,,4,2,0,6,79.33,61.67,66.67%,,,6,,,,,0.67,79.33,61.67,,66.67%,,No,,Iron Halo,GT Pack,9th Open,26-Sep
Sean Dilley,Chaos Daemons,1,,1,1,Chaos Undivided,1,1,,,,5,1,0,6,83.50,60.33,83.33%,,,6,,,,,0.83,83.50,60.33,,83.33%,,Yes,,Iron Halo,GT Pack,9th Open,26-Sep
Wesley Anderson,Chaos Daemons,1,1,,1,Chaos Undivided,1,1,Mono,,,4,2,0,6,82.17,65.67,66.67%,66.67%,6,,6,4,2,0,0.67,82.17,65.67,66.67%,66.67%,82.17,No,,Iron Halo,GT Pack,9th Open,26-Sep
Vincent Chan,Chaos Daemons,1,,1,1,Chaos Undivided,1,1,,,,4,1,0,5,70.80,69.40,80.00%,,,5,,,,,0.80,70.80,69.40,,80.00%,,No,,Stay Safe and Play GT,GT Pack,9th Open,26-Sep
Jimmy Pettersson,Chaos Daemons,1,1,,1,Chaos Undivided,1,1,,,,2,3,0,5,81.00,82.60,40.00%,,5,,,2,3,0,0.40,81.00,82.60,40.00%,40.00%,81.00,No,,WCT GT 2,GT Pack,9th Open,26-Sep
Par Hylander,Chaos Daemons,1,1,,1,Chaos Undivided,1,1,Mono,,,3,2,0,5,82.00,83.00,60.00%,60.00%,5,,5,3,2,0,0.60,82.00,83.00,60.00%,60.00%,82.00,No,,WCT GT 2,GT Pack,9th Open,26-Sep
Mark Aescht,Chaos Daemons,1,1,,1,Chaos Undivided,1,1,Mono,,,4,1,0,5,84.60,62.20,80.00%,80.00%,5,,5,4,1,0,0.80,84.60,62.20,80.00%,80.00%,84.60,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
Emil Bergmark,Chaos Daemons,1,1,,1,Chaos Undivided,1,1,,,,3,0,2,5,13.40,6.60,80.00%,,5,,,3,0,2,0.80,13.40,6.60,80.00%,80.00%,13.40,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Jimmy Pettersson,Chaos Daemons,1,,1,1,Chaos Undivided,1,1,,,,5,0,0,5,15.60,4.40,100.00%,,,5,,,,,1.00,15.60,4.40,,100.00%,,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Linus Karlsson,Chaos Daemons,1,,1,1,Chaos Undivided,1,1,,,,2,3,0,5,8.60,11.40,40.00%,,,5,,,,,0.40,8.60,11.40,,40.00%,,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Alessandro Liessem,Chaos Daemons,1,1,,1,Chaos Undivided,1,1,,,,3,2,0,5,60.80,62.80,60.00%,,5,,,3,2,0,0.60,60.80,62.80,60.00%,60.00%,60.80,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Philip Gottschalk,Chaos Daemons,1,,1,1,Chaos Undivided,1,1,,,,2,3,0,5,57.60,69.40,40.00%,,,5,,,,,0.40,57.60,69.40,,40.00%,,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Thorsten Mehl,Chaos Daemons,1,1,,1,Chaos Undivided,1,1,,,,1,4,0,5,44.60,67.40,20.00%,,5,,,1,4,0,0.20,44.60,67.40,20.00%,20.00%,44.60,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Tim Salinger,Thousand Sons,1,,1,,Cult of Change,1,1,,,,2,3,0,5,35.20,59.00,40.00%,,,5,,,,,,,,,40.00%,,No,,Adelaide GT,GT Pack,9th Open,1-Aug
Rory Argent,Thousand Sons,1,1,,1,Cult of Change,1,1,Mono,,,2,3,0,5,66.20,60.00,40.00%,40.00%,5,,5,2,3,0,0.40,66.20,60.00,40.00%,40.00%,66.20,No,,Brisbane GT,GT Pack,9th Open,19-Sep
